cycle,timestamp,neo_I,eva_I,neo_coupling_acts,eva_coupling_acts,corr_S,corr_N,corr_C,mean_corr,tau_last
1000,2025-11-29T22:17:54.918742,"[0.09758316049256727, 0.6235544065025823, 0.2788624330048504]","[0.0499980038890914, 0.013288661039237811, 0.9367133350716709]",394,535,0.27132848294015166,0.6224336711570959,0.5203940348190367,0.47138539630542803,5.399001577619355e-05
2000,2025-11-29T22:17:56.105948,"[0.13464200624746084, 0.4929094539957397, 0.3724485397567995]","[0.1571500427724894, 0.0021817725928431255, 0.8406681846346675]",411,827,0.4944101446679269,0.6842267754667322,0.5163905225640957,0.5650091475662516,2.1674805576920762e-05
3000,2025-11-29T22:17:56.890588,"[0.13053116512214621, 0.4395525213169113, 0.4299163135609425]","[0.20121516241173187, 0.05100008490406013, 0.7477847526842081]",435,843,0.579998828232323,0.6742741522684329,0.3797134518772711,0.544662144126009,3.53750825123911e-05
4000,2025-11-29T22:17:57.678734,"[0.11681585731119591, 0.39706169046987105, 0.486122452218933]","[0.1990285626055124, 0.11035632792244596, 0.6906151094720416]",454,861,0.581458650831886,0.5838925717744432,0.19217099197086546,0.4525074048590649,9.752112287909128e-06
5000,2025-11-29T22:17:58.463165,"[0.11634508419471264, 0.3700640061554247, 0.5135909096498626]","[0.19309301843868454, 0.14433985041128738, 0.6625671311500281]",474,878,0.560045830998296,0.48140041738784717,0.03970147262281203,0.3603825736696517,9.919459065647288e-06
6000,2025-11-29T22:17:59.269840,"[0.14206865149783648, 0.3391177915818538, 0.5188135569203098]","[0.2559452206544054, 0.16145666053235, 0.5825981188132446]",497,906,0.5797252766666242,0.37521145489800706,-0.0992049112677306,0.2852439400989669,1.0565448481945037e-05
7000,2025-11-29T22:18:00.060666,"[0.17947356980366552, 0.3159037843284091, 0.5046226458679254]","[0.3100338480762821, 0.10337293657531171, 0.5865932153484062]",515,928,0.6822632212631777,0.3257292428543634,-0.19725819872679343,0.2702447551302492,1.2669637817284389e-05
8000,2025-11-29T22:18:00.859725,"[0.20625110440201716, 0.2999273617516244, 0.49382153384635846]","[0.3403258395156374, 0.0673650869852047, 0.592309073499158]",540,949,0.78636861566804,0.32721445794452186,-0.24856435467169452,0.2883395729802891,1.3128143375845264e-05
9000,2025-11-29T22:18:01.653841,"[0.22692724235718972, 0.28402341844946627, 0.48904933919334403]","[0.3451771467543131, 1.881867314171672e-05, 0.6548040345725451]",561,970,0.8438789410569378,0.36272322833124404,-0.2726532968095365,0.31131629085954843,6.481665596869021e-06
10000,2025-11-29T22:18:02.453011,"[0.2531067270376104, 0.28270218947792863, 0.4641910834844611]","[0.3038292225396324, 0.012709319018781891, 0.6834614584415857]",581,993,0.8478920593641052,0.4054968145415047,-0.2756385526888553,0.3259167737389182,8.397463609243342e-06
11000,2025-11-29T22:18:03.253822,"[0.286965186209966, 0.28670366088855437, 0.42633115290147966]","[0.28264410329266415, 0.0037891902279316163, 0.7135667064794042]",601,1016,0.8071503753796309,0.43573821711742133,-0.27473061854758213,0.3227193246498233,1.3367310468709375e-05
12000,2025-11-29T22:18:04.050936,"[0.3148630028261077, 0.27557144930289895, 0.40956554787099325]","[0.23498920188490197, 0.029984112088495603, 0.7350266860266025]",621,1039,0.7229714848661771,0.4540698310073847,-0.2765152690260261,0.3001753489491786,2.13415262083019e-05
13000,2025-11-29T22:18:04.868807,"[0.3580628916341715, 0.21691563302827108, 0.42502147533755746]","[0.08433328426291052, 0.09469232851620488, 0.8209743872208846]",645,1071,0.5001621785051434,0.4514688130152195,-0.2783862244440124,0.2244149223587835,1.8573822795988484e-05
14000,2025-11-29T22:18:05.650444,"[0.42974560297614, 0.11406630129115508, 0.4561880957327049]","[0.0002609009738084586, 0.10396392421606543, 0.8957751748101261]",663,1083,0.04983298734003582,0.38212177925120927,-0.24964690521974015,0.06076928712383498,1.4395781204263367e-05
15000,2025-11-29T22:18:07.681701,"[0.42750874658278026, 0.059386219921029146, 0.5131050334961905]","[0.0018603426350942086, 0.08792774763933796, 0.9102119097255679]",674,1935,-0.21529244909867945,0.3297109647210936,-0.1776285084054464,-0.02106999759434407,1.613998763647094e-05
16000,2025-11-29T22:18:09.963351,"[0.4109179427228058, 0.05672044855161735, 0.5323616087255768]","[0.00600872175277811, 0.08244036786840665, 0.9115509103788152]",693,2935,-0.34944017223284174,0.2955083364043998,-0.08738417262162025,-0.04710533615002074,1.2943136324565463e-05
17000,2025-11-29T22:18:12.221322,"[0.39879051177293445, 0.06773728723985431, 0.5334722009872114]","[0.007192695025620952, 0.08274026367012317, 0.9100670413042559]",709,3935,-0.42736057913155284,0.27437601457418725,-0.015671847873324794,-0.05621880414356346,7.45202870483252e-06
18000,2025-11-29T22:18:14.491697,"[0.3942482248644547, 0.07810701254106205, 0.5276447625944832]","[0.006533855029191392, 0.08591669880344392, 0.9075494461673648]",731,4935,-0.4799578564011261,0.25808074210238285,0.038373763539977096,-0.06116778358625538,4.1618837089349724e-06
19000,2025-11-29T22:18:16.749772,"[0.3818112529442208, 0.09150322879018298, 0.5266855182655962]","[0.003899055972098335, 0.09242288412743815, 0.9036780599004636]",747,5935,-0.517629657501042,0.2431318294355074,0.07857600500699363,-0.06530727435284699,4.620309521868353e-06
20000,2025-11-29T22:18:18.169207,"[0.3746597248986261, 0.09531415613011913, 0.5300261189712547]","[0.0001510113131646768, 0.10746142205264418, 0.8923875666341912]",758,6374,-0.5448565197705515,0.2252304756892921,0.11136201467355031,-0.06942134313590302,1.7247334488725479e-06
